date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
f3eceea6-b4a4-4076-ae27-52f0bb674f96,2016,5,13,Friday,False,False,
d39c1194-cc56-458a-a8d9-80c13ecd54b7,2016,5,30,Monday,False,True,Memorial Day
67c18b17-64af-46c2-9ddd-2333e7e09c24,2017,5,5,Friday,False,False,
c6ebe85a-217c-4299-9b22-826d8f29a15b,2016,6,24,Friday,False,False,
18a9579f-4550-4c3a-822d-5d3d57dd5280,2018,1,9,Tuesday,False,False,
1221f4e2-6cde-47ae-97ef-4649a702bc25,2017,6,18,Sunday,True,False,
68abea1f-d3d7-4e33-98f8-efb612e7f872,2018,1,15,Monday,False,True,"Martin Luther King, Jr. Day"
a9200255-af42-4300-bcef-9ba1dc1d3290,2018,3,8,Thursday,False,False,
503581d7-6c50-4524-92fd-377a8b5d7131,2018,3,7,Wednesday,False,False,
cac92e22-1b62-4790-9bd6-43e8cde304a2,2018,3,5,Monday,False,False,
cecffb42-6e70-4097-bbbc-025171c1fa11,2018,3,6,Tuesday,False,False,
b121eb69-0870-441c-b894-0ff7754d736e,2018,3,9,Friday,False,False,
fb4fdc94-a46b-4cd1-97f6-ef25031b9869,2018,3,3,Saturday,True,False,
15f8203c-0439-4535-9270-71d0a698635d,2018,3,1,Thursday,False,False,
35efcb2b-f48a-4a6b-a7e9-8c33bd590acc,2018,3,4,Sunday,True,False,
8c5c6f89-6e00-43a7-85b6-c5ac8446ff47,2018,4,12,Thursday,False,False,
c07b5dbb-c9fa-4694-bf56-93627417579f,2017,12,24,Sunday,True,False,
8e05d17c-9915-4a1a-8b52-0ad2fcbef9ea,2018,4,16,Monday,False,False,
2fd80b2e-052b-452a-96d9-64e2a6b52a32,2018,4,15,Sunday,True,False,
83544729-d603-47c2-a2d6-818723972a3f,2018,4,13,Friday,False,False,
0c6d65f9-8228-4df9-929a-93aa3556aeda,2018,2,8,Thursday,False,False,
76caf844-26a9-4a1e-b2d7-df2a2de4caee,2018,4,11,Wednesday,False,False,
3e1a8f90-762c-4ed4-b1a2-594984325de8,2018,2,9,Friday,False,False,
027da11a-84c7-45be-9355-a8ddb2c60226,2015,2,19,Thursday,False,False,
7692b1fa-8acb-4953-a5a8-bbdcc733e7e2,2018,3,23,Friday,False,False,
13dac330-dd60-4f1d-8d29-aa12a7eef0ed,2018,2,17,Saturday,True,False,
ecae9773-f894-4ff4-864d-c2fd0ac66868,2017,12,30,Saturday,True,False,
e1551a47-8a80-412c-8ff4-a6398b0a384f,2018,4,6,Friday,False,False,
77f4dd70-6201-48c3-b5a4-3f105106adaf,2018,4,17,Tuesday,False,False,
052aefa9-34ff-430f-8500-73b10605be99,2018,4,14,Saturday,True,False,
e866e30d-86d3-433b-8679-95a89a9cfc6c,2016,8,1,Monday,False,False,
b4a8c02c-2ed6-428f-a96d-0074cd7ed458,2016,4,15,Friday,False,False,
8f59b6c6-5c87-43ee-9248-44a90cec816e,2018,4,9,Monday,False,False,
319cd178-06cd-480f-8c02-a37fb9b6e504,2016,1,1,Friday,False,True,New Year's Day
21d1fc93-6574-4cdb-a135-e87f0f7e698e,2018,3,13,Tuesday,False,False,
4bc73ce1-d94f-4e6a-a6ba-ba7e7d91a557,2016,3,30,Wednesday,False,False,
a4865a16-dfee-4e16-9869-02638c9a6cf7,2017,1,1,Sunday,True,True,New Year's Day
9f70f67e-4e4d-48e0-982b-b5cf5cdadeb5,2018,4,1,Sunday,True,False,
03030a7b-cfc4-446c-9ac5-5eb331950fa4,2018,2,23,Friday,False,False,
2f4a9089-f0d1-40a4-9ea3-54fd7bc60888,2018,3,2,Friday,False,False,
e8bcfbf6-b16d-4415-b8ed-e9de42a420f9,2018,4,10,Tuesday,False,False,
4fdfc0c7-192e-47e2-8f0f-ef126a840138,2018,4,2,Monday,False,False,
0ceee71a-69d5-4973-a449-710dfc1dc67e,2018,2,21,Wednesday,False,False,
5d63d9ff-2ae7-40fd-a03e-7aaedfc2bc48,2018,4,8,Sunday,True,False,
72976bee-b60e-41fa-b8d9-5e113303a2a1,2018,2,15,Thursday,False,False,
73cf6faf-2e66-4914-ad6a-1a886406ce4f,2017,12,10,Sunday,True,False,
bb0f0dc5-80f2-40ba-babb-a6226c1f966b,2017,10,22,Sunday,True,False,
c488d0af-a8b4-4218-a439-2d07a8ad8a0e,2018,1,2,Tuesday,False,False,
a5db1a21-3713-4fa5-8090-9707c7f25d81,2017,12,31,Sunday,True,False,
f524fb9f-73ca-4326-b847-b4403605e285,2017,12,27,Wednesday,False,False,
acf70bc9-617f-497d-8fab-7ba9cb0db7cc,2017,12,28,Thursday,False,False,
ab2a7392-16eb-456d-8c07-b82c56366b25,2017,12,18,Monday,False,False,
ef06e614-74db-4146-8e76-3698f93e36f3,2017,12,2,Saturday,True,False,
5c719dd9-d9fb-4448-8793-26269d81c629,2016,12,31,Saturday,True,False,
4efd3fdf-3c2d-49fe-9faf-0a15d0487219,2017,12,12,Tuesday,False,False,
113e5636-ec79-4724-803e-7d0ca34e01df,2017,12,29,Friday,False,False,
5764836f-7a91-4271-9bcb-db8b3f48176b,2017,11,2,Thursday,False,False,
84e3cc5a-aff3-4e91-859f-c64fe3710d4c,2017,12,23,Saturday,True,False,
2243e6ee-c2a6-40e5-988f-b59db1fdfddf,2017,12,22,Friday,False,False,
69324ab4-093f-4ec6-843d-eda74e79030c,2017,11,15,Wednesday,False,False,
