date_key,year,month,day,day_of_week,is_weekend,is_american_holiday,american_holiday_name,is_canadian_holiday,canadian_holiday_name
f891c3f4-a086-478b-a954-89ef49ba867b,2018,2,28,Wednesday,False,False,,False,
dd83bee9-3c7f-463b-aed8-292f56768386,2018,2,24,Saturday,True,False,,False,
4c113378-e241-4614-883d-980b8008c2be,2018,2,27,Tuesday,False,False,,False,
9028a7e9-cde5-47ca-a325-e9d7845ce5ba,2018,2,7,Wednesday,False,False,,False,
f3fc884f-4c60-4fd9-855d-b911a075cc16,2018,2,19,Monday,False,True,Washington's Birthday,False,
f37475dd-5c6f-4639-a278-5828469926b8,2018,2,20,Tuesday,False,False,,False,
ea198959-d2fd-42f4-83f9-82c0c9136ac8,2018,2,18,Sunday,True,False,,False,
0de03899-00b6-41c3-8cff-4b54c2ccf2a7,2018,2,25,Sunday,True,False,,False,
906fbdc8-d117-4fb1-8984-dc091766cc0e,2017,12,9,Saturday,True,False,,False,
edb0e027-b27f-4135-8e04-69cea2211b3d,2017,12,3,Sunday,True,False,,False,
947e56c7-93bb-4dc5-b8bb-f78ded05e966,2017,5,19,Friday,False,False,,False,
d0cf0095-f40f-4e69-b1b6-7286dae71e8f,2018,2,16,Friday,False,False,,False,
72507382-4999-4b2e-8f0e-39e7b258eab7,2017,9,8,Friday,False,False,,False,
d5a5ad3b-327e-4ab4-abb8-401c69d736c9,2017,12,8,Friday,False,False,,False,
dba07d23-247d-45af-b4ca-5f26c32533a3,2017,12,13,Wednesday,False,False,,False,
8807a9f2-53c4-4926-ae68-ffefe7074383,2017,11,23,Thursday,False,True,Thanksgiving,False,
dc6c6d28-2da1-42f1-b5ce-50853f30b8a0,2017,11,24,Friday,False,False,,False,
0b2953a5-5ce7-40e7-82af-4d8875e8f249,2017,12,6,Wednesday,False,False,,False,
1d1601c4-546f-47ab-8d04-e78c0d6fbc48,2017,11,19,Sunday,True,False,,False,
b1f58576-68da-43fd-b814-84b0106d243d,2017,11,18,Saturday,True,False,,False,
5c7093d9-e23f-4cc4-8c03-b7ba1ff45101,2019,1,12,Saturday,True,False,,False,
31f363d2-3ec6-4e87-8ada-9d38355c0185,2016,6,1,Wednesday,False,False,,False,
96682f78-cc1b-423f-83df-6510244421c3,2017,11,20,Monday,False,False,,False,
045d2f97-6b55-4478-98e6-689e794896b4,2017,11,17,Friday,False,False,,False,
96f41a80-b432-4119-9a39-58f731da94dd,2017,9,11,Monday,False,False,,False,
88905c96-7b4d-4adc-a161-8c4bdb1db8ba,2017,11,9,Thursday,False,False,,False,
e67dc9f3-575c-4abb-b769-221143494e66,2017,11,11,Saturday,True,True,Veterans Day,True,Remembrance Day
6572872a-a193-42cb-8c19-d0f86230ee31,2017,12,26,Tuesday,False,False,,True,Boxing Day
aba66078-2ea8-4c83-9b7e-28f681778c6b,2017,9,16,Saturday,True,False,,False,
749f8354-1956-4f6b-922f-ec4dbf89e1be,2017,11,10,Friday,False,True,Veterans Day (Observed),False,
c34e166a-308f-412e-b103-fa4f3456f8b3,2017,11,12,Sunday,True,False,,False,
50e126c0-b450-49bd-96a4-4a19ac4bff5f,2017,9,6,Wednesday,False,False,,False,
1ac63600-78d2-4c6d-b3ec-b63089811457,2018,1,7,Sunday,True,False,,False,
92daf614-da5c-4672-83fe-69041f7199e8,2017,11,3,Friday,False,False,,False,
8f003bf3-bcac-4617-ba89-a99389da121e,2015,3,1,Sunday,True,False,,False,
bd39130a-b143-4682-ac8c-8fb4f5427bb4,2018,2,14,Wednesday,False,False,,False,
a3a5254d-9afe-4bc5-a64a-fb07dd8de6f5,2016,12,13,Tuesday,False,False,,False,
fa9a05b2-8a9e-45f8-b238-53f9de7963c8,2017,11,16,Thursday,False,False,,False,
b26649b4-7f47-44d9-b807-be1a79f70f88,2018,2,4,Sunday,True,False,,False,
4bdfbfc7-76d6-4ca8-84d6-a6350847ea45,2018,2,12,Monday,False,False,,True,Family Day
4aacc694-b509-4336-9d40-b167c36bf1bf,2018,1,14,Sunday,True,False,,False,
e47d2885-251a-4377-a162-9e32b642ccd5,2018,1,13,Saturday,True,False,,False,
7d7b7637-f4fd-43b5-850e-d179424ee08e,2017,12,5,Tuesday,False,False,,False,
2c445b7e-f1e7-4c01-bd47-2ddbe94eb3f7,2017,10,21,Saturday,True,False,,False,
e0284b58-476f-48ef-bd87-6084a7d46f29,2017,11,28,Tuesday,False,False,,False,
83a7ae18-205f-4a73-93db-aa8db45d8cc1,2017,1,3,Tuesday,False,False,,False,
b6d2e827-43c5-41b0-b015-2e1dd4f406de,2017,11,30,Thursday,False,False,,False,
b5685239-8100-46f1-b62b-8cbf598af554,2017,12,17,Sunday,True,False,,False,
